BlockNo_	S3300047	S3300074	S3300239
Block8995	0.01695	0.02024	0.02838
Block8996	0.12353	0.06348	0.06289
Block8997	0.83821	0.86758	0.85032
Block8998	0.78561	0.80582	0.77974
Block8999	0.8604	0.86309	0.85039
Block9000	0.8316	0.83354	0.84899
Block9001	0.82984	0.65916	0.58452
Block9002	0.625	0.63333	0.60465
Block9003	0.74702	0.76016	0.75309
Block9004	0.69684	0.54671	0.59657
Block9005	0.86154	0.83415	0.90504
Block9006	0.67048	0.47909	0.44153
Block9007	0.72557	0.6857	0.73093
Block9008	0.78357	0.80046	0.8171
Block9009	0.72333	0.79627	0.8187
Block9010	0.74688	0.74137	0.75708
Block9011	0.00921	0.04007	0.01581
Block9012	0.68308	0.79176	0.73427
Block9013	0.00343	0.00094	0.0015
Block9014	0.18626	0.15166	0.17652
Block9015	0.0512	0.12188	0.16446
Block9016	0.67963	0.75176	0.7425
Block9017	0.13598	0.30506	0.27516
Block9018	0.32985	0.44615	0.45818
Block9019	0.66222	0.59533	0.59648
Block9020	0.66215	0.57574	0.59419
Block9021	0	0	0
Block9022	0.58172	0.60035	0.61495
Block9023	0.00776	0.01566	0.01243
Block9024	0.90712	0.84855	0.8374
Block9025	0.83361	0.77067	0.82766
Block9026	0.80617	0.82402	0.82258
Block9027	0.79743	0.79947	0.82596
Block9028	0.76875	0.7722	0.77044
Block9029	0.45818	0.46905	0.52128
Block9030	0.01471	0.05126	0.05655
Block9031	0	0	0
Block9032	0.82628	0.73547	0.80204
Block9033	0.75259	0.62692	0.65136
Block9034	0.00668	0.00064	0.00059
Block9035	0.32911	0.33369	0.43797
Block9036	0.78524	0.77335	0.78401
Block9037	0.79517	0.79033	0.81384
Block9038	0.86633	0.85993	0.88923
Block9039	0.63174	0.72308	0.69932
Block9040	0.79514	0.72618	0.75978
Block9041	0.39286	0.50197	0.7225
Block9042	0.04857	0.10655	0.06564
Block9043	0.48173	0.09818	0.18848
Block9044	0.37175	0.34093	0.29005
Block9045	0.0073	0.01024	0.03521
Block9046	0.37912	0.18692	0.30523
Block9047	0.8186	0.85313	0.85375
Block9048	0.01203	0.01179	0.0189
Block9049	0.78528	0.76407	0.77356
Block9050	0.01071	0.04963	0.03165
Block9051	0.32584	0.22951	0.22751
Block9052	0.06241	0.04798	0.03757
Block9053	0.79474	0.78752	0.76298
Block9054	0.76929	0.67989	0.69183
Block9055	0.93819	0.88248	0.87512
Block9056	0.06517	0.0352	0.05577
Block9057	0.72323	0.58953	0.62543
Block9058	0.05611	0.09522	0.11668
Block9059	0.90137	0.88374	0.86691
Block9060	0.72636	0.59232	0.63882
Block9061	0.39226	0.37232	0.34697
Block9062	0.00291	0.01599	0.03918
Block9063	0.20521	0.19438	0.22361
Block9064	0.75938	0.72556	0.8125
Block9065	0.10868	0.10913	0.09211
Block9066	0.7931	0.74441	0.78096
Block9067	0.03205	0.05245	0.05296
Block9068	0.0719	0.13459	0.13697
Block9069	0.7363	0.78721	0.7864
Block9070	0.00229	0.01662	0.02584
Block9071	0.81865	0.69782	0.71477
Block9072	0.47633	0.53734	0.60484
Block9073	0.04543	0.07318	0.06768
Block9074	0.05	0.04289	0.05172
Block9075	0.83928	0.86531	0.8326
Block9076	0.76432	0.7821	0.74867
Block9077	0.33138	0.5292	0.5511
Block9078	0.84981	0.84601	0.8743
Block9079	0.03498	0.10783	0.08038
Block9080	0.05015	0.05663	0.08663
Block9081	0.12532	0.16431	0.16097
Block9082	0.88026	0.8629	0.8554
Block9083	0.81487	0.83617	0.83876
Block9084	0.00336	0.00261	0.00686
Block9085	0.09386	0.1478	0.17024
Block9086	0.02628	0.08693	0.08171
Block9087	0.59615	0.34211	0.32
Block9088	0.65716	0.72108	0.69786
Block9089	0.81402	0.74437	0.77778
Block9090	0.81145	0.73821	0.7437
Block9091	0.20924	0.72464	0.58532
Block9092	0.8372	0.88302	0.83043
Block9093	0.03386	0.32111	0.22171
Block9094	0.80345	0.78168	0.79767
Block9095	0.82932	0.84275	0.83011
Block9096	0.6537	0.71343	0.72111
Block9097	0.76239	0.72839	0.76725
Block9098	0.78019	0.80121	0.79273
Block9099	0.86218	0.8668	0.86011
Block9100	0.02449	0.03741	0.04218
Block9101	0.00936	0.01737	0.00801
Block9102	0.88744	0.84417	0.81689
Block9103	0.78371	0.77742	0.78997
Block9104	0.81481	0.8601	0.8049
Block9105	0.8626	0.852	0.88369
Block9106	0.54136	0.33763	0.37252
Block9107	0.64871	0.5251	0.50299
